algorithm,avg_time_s,min_time_s,std_time_s,iterations,inertia,cluster_sizes
Student Lab03,0.0418279167600042,0.04065002100003312,0.0020995529180406584,not exposed,529021650681.7988,"[810, 837, 569]"
AI package,0.004582578319996173,0.004226525999968089,0.00043291018892969556,10,529021650681.7988,"[810, 837, 569]"
