feature,custom_mean,numpy_mean,custom_variance,numpy_variance,custom_std,numpy_std
ID,5588.35333935018,5588.35333935018,10553681.533544805,10553681.533544805,3248.6430295655455,3248.6430295655455
Year_Birth,1968.8203971119133,1968.8203971119133,143.58868143074977,143.58868143074974,11.982849470420204,11.982849470420204
Education,0.980595667870036,0.980595667870036,1.577692063952352,1.577692063952352,1.2560621258330942,1.2560621258330942
Income,52247.25135379061,52247.25135379061,633397830.1872725,633397830.1872725,25167.396174162965,25167.396174162965
Kidhome,0.4417870036101083,0.4417870036101083,0.28812749253867503,0.28812749253867503,0.5367750856165691,0.5367750856165691
Teenhome,0.5054151624548736,0.5054151624548736,0.29599955688201335,0.2959995568820133,0.5440584131157364,0.5440584131157364
Recency,49.01263537906137,49.01263537906137,837.6289017190371,837.6289017190371,28.941819253789784,28.941819253789784
MntWines,305.09160649819495,305.09160649819495,113738.7763555419,113738.77635554191,337.2517996327698,337.2517996327698
MntFruits,26.356046931407942,26.356046931407942,1582.8411908714436,1582.8411908714436,39.78493673328442,39.78493673328442
MntMeatProducts,166.99593862815885,166.99593862815885,50280.286535851825,50280.286535851825,224.23266161701738,224.23266161701738
MntFishProducts,37.63763537906137,37.63763537906137,2996.4377352027914,2996.4377352027914,54.73972721162201,54.73972721162201
MntSweetProducts,27.028880866425993,27.028880866425993,1686.1516929713669,1686.1516929713669,41.06277746294528,41.06277746294528
MntGoldProds,43.96525270758123,43.96525270758123,2683.6255976798216,2683.625597679821,51.803721851618164,51.803721851618164
NumDealsPurchases,2.3235559566787005,2.3235559566787005,3.6990119039085614,3.6990119039085614,1.9232815456683823,1.9232815456683823
NumWebPurchases,4.08528880866426,4.08528880866426,7.509422570019158,7.50942257001916,2.7403325655874613,2.7403325655874617
NumCatalogPurchases,2.671028880866426,2.671028880866426,8.561904356566618,8.561904356566616,2.926073197404094,2.9260731974040937
NumStorePurchases,5.800992779783393,5.800992779783393,10.562832949406353,10.562832949406353,3.2500512225819382,3.2500512225819382
NumWebVisitsMonth,5.319043321299639,5.319043321299639,5.879709554079944,5.879709554079944,2.424811240917516,2.424811240917516
AcceptedCmp3,0.07355595667870037,0.07355595667870037,0.0681454779157815,0.06814547791578152,0.2610468883472498,0.2610468883472498
AcceptedCmp4,0.0740072202166065,0.0740072202166065,0.06853015157241722,0.06853015157241722,0.2617826418470431,0.2617826418470431
AcceptedCmp5,0.07310469314079422,0.07310469314079422,0.06776039698158452,0.06776039698158454,0.26030827297952813,0.26030827297952813
AcceptedCmp1,0.06407942238267147,0.06407942238267147,0.05997325000977466,0.059973250009774645,0.24489436500208545,0.24489436500208542
AcceptedCmp2,0.013537906137184115,0.013537906137184115,0.013354631234604909,0.013354631234604909,0.11556223965727261,0.11556223965727261
Complain,0.00947653429602888,0.00947653429602888,0.009386729593765068,0.009386729593765068,0.09688513608270914,0.09688513608270914
Z_CostContact,3.0,3.0,0.0,0.0,0.0,0.0
Z_Revenue,11.0,11.0,0.0,0.0,0.0,0.0
Response,0.15027075812274368,0.15027075812274368,0.12768945737595955,0.12768945737595952,0.3573366163380959,0.3573366163380959
Marital_Status_Single,0.2125451263537906,0.2125451263537906,0.1673696956170418,0.1673696956170418,0.40910841548059335,0.40910841548059335
Marital_Status_Together,0.2585740072202166,0.2585740072202166,0.19171349001029594,0.19171349001029594,0.4378509906466993,0.4378509906466993
Marital_Status_Married,0.38673285198555957,0.38673285198555957,0.23717055318067487,0.2371705531806749,0.4870015946387392,0.48700159463873927
Marital_Status_Divorced,0.10469314079422383,0.10469314079422383,0.09373248706486464,0.09373248706486466,0.30615761800886915,0.3061576180088692
Marital_Status_Widow,0.03429602888086643,0.03429602888086643,0.0331198112838692,0.033119811283869205,0.18198849217428337,0.1819884921742834
Marital_Status_Alone,0.0013537906137184115,0.0013537906137184115,0.0013519578646926194,0.0013519578646926194,0.03676897965259057,0.03676897965259057
Marital_Status_Absurd,0.0009025270758122744,0.0009025270758122744,0.0009017125206897001,0.0009017125206897001,0.030028528446956904,0.030028528446956904
Marital_Status_YOLO,0.0009025270758122744,0.0009025270758122744,0.0009017125206897001,0.0009017125206897001,0.030028528446956904,0.030028528446956904
